,open,high,low,close,volume,date
0,238.0000,240.1600,226.8800,227.4800,7407096,2025-04-04
1,242.7100,250.6100,242.5300,243.4900,5309626,2025-04-03
2,248.2200,252.7900,247.2300,249.9800,4080832,2025-04-02
3,248.0300,250.6200,243.4900,250.3400,4413139,2025-04-01
4,242.7400,250.8900,242.4900,248.6600,6794972,2025-03-31
5,246.2700,247.5700,242.0700,244.0000,3125594,2025-03-28
6,249.7100,250.3000,245.7250,246.2100,2889328,2025-03-27
7,251.2500,254.3200,249.5300,250.3400,4452220,2025-03-26
8,248.3600,250.9000,248.2000,249.9000,3133809,2025-03-25
9,247.3100,248.8200,245.9650,248.4500,4753331,2025-03-24
10,241.6900,245.2050,238.5000,243.8700,9580084,2025-03-21
11,244.2400,246.8000,237.2240,243.3200,7026796,2025-03-20
12,248.3300,253.6600,246.6400,252.2900,3853598,2025-03-19
13,252.5100,252.5700,245.1200,246.9500,4172239,2025-03-18
14,249.2500,254.6300,249.0000,252.9700,3234149,2025-03-17
15,242.7450,248.9499,241.6800,248.3500,4045284,2025-03-14
16,248.8000,249.2700,243.0400,245.8000,3862416,2025-03-13
17,250.3500,253.1273,245.5300,249.6300,3849206,2025-03-12
18,255.9900,256.7000,245.8600,248.9500,5630570,2025-03-11
19,261.5600,266.4500,254.7500,256.9000,8126234,2025-03-10
20,245.9500,261.9600,245.1823,261.5400,6700184,2025-03-07
21,249.7500,252.1000,246.8019,248.6900,3254358,2025-03-06
22,251.5800,252.7400,247.0146,251.3500,4009813,2025-03-05
23,248.7500,255.4800,248.1000,253.2100,5342106,2025-03-04
24,254.7350,255.9900,248.2450,250.1900,2977699,2025-03-03
25,250.8550,252.8099,246.5400,252.4400,7988809,2025-02-28
26,255.2200,257.6300,253.0500,253.2300,3402234,2025-02-27
27,258.1000,258.3250,254.4104,255.8400,3460124,2025-02-26
28,261.0800,263.4800,256.7700,257.7500,6292487,2025-02-25
29,261.5000,263.8450,259.5800,261.8700,4398107,2025-02-24
30,263.8450,264.8300,261.1000,261.4800,5667874,2025-02-21
31,263.6500,265.0900,262.1500,264.7400,4884805,2025-02-20
