open,high,low,close,volume,date,MA for 10 days,MA for 50 days,MA for 100 days,Daily Return,ema7,ema14,ema30,ema60
63.25,63.25,63.25,63.25,0,1999-11-01,49.165,48.419200000000004,56.3305,0.2908163265306123,51.89498539509718,49.71863990607052,48.7020276022684,50.67135777660564
40.13,51.13,40.0,49.0,14230500,1999-11-02,47.553,48.4904,56.4018,-0.017642341619887758,48.10998052679624,47.636892199312136,47.69871916104553,50.24496312496515
50.0,52.25,49.5,49.88,1603900,1999-11-03,47.391,48.9204,56.609899999999996,0.06399317406143346,47.813307369061654,47.42718330689862,47.608975654910736,50.28716526479448
49.81,50.75,46.25,46.88,1081200,1999-11-04,47.622,49.300399999999996,56.8155,0.004069393874491345,47.12440982541554,47.04982689257533,47.45235328628389,50.3009674771604
47.13,47.75,45.88,46.69,672300,1999-11-05,47.64,49.73160000000001,57.01299999999999,-0.02991896945771877,47.20587976722072,47.07595410681769,47.491825926717254,50.41693247638617
46.88,48.63,46.69,48.13,670100,1999-11-08,47.596,50.0554,57.1361,0.03216813210379588,47.377839689627635,47.13533166171272,47.547124266490854,50.54326917050096
48.25,49.0,46.63,46.63,346800,1999-11-09,47.371,50.343999999999994,57.288599999999995,0.0,47.12711958617018,46.982305763514674,47.50692594004194,50.625074905094216
46.69,47.13,46.0,46.63,718200,1999-11-10,47.133,50.659,57.4229,-0.023455497382198875,47.29282611489358,47.03650665020923,47.56740359107931,50.76050117306352
46.56,47.75,46.31,47.75,460100,1999-11-11,47.326,50.83519999999999,57.549099999999996,0.020081179235206026,47.51376815319144,47.0990461348568,47.63205211460202,50.900518161980926
47.75,47.75,46.63,46.81,697700,1999-11-12,47.45100000000001,51.0128,57.6941,-0.006789730532569482,47.43502420425526,46.998899386373225,47.62391777767802,51.00731538781079
46.63,47.5,46.38,47.13,385000,1999-11-15,47.701,51.15599999999999,57.8855,-0.005276487969607446,47.64336560567368,47.02796083043064,47.680050038207526,51.1495972653637
47.25,47.5,46.5,47.38,635800,1999-11-16,47.788,51.206,58.04730000000001,-0.09216324966468659,47.814487474231576,47.012262496650735,47.717984523601146,51.28585479978281
47.5,54.27,47.38,52.19,1207900,1999-11-17,47.7,51.2378,58.1935,0.10900977475563112,47.95931663230877,46.95568749613547,47.741293801090876,51.41825665740257
52.0,52.06,46.5,47.06,1427200,1999-11-18,47.006,51.1302,58.2966,0.0175135135135136,46.54908884307836,46.150408649387074,47.43448647702817,51.39209586612809
47.38,48.0,46.0,46.25,561200,1999-11-19,46.85600000000001,51.1128,58.4079,0.008064516129032251,46.378785124104475,46.010471518523545,47.46031313061631,51.53894657345447
46.63,47.13,45.0,45.88,692600,1999-11-22,46.672000000000004,51.1066,58.5542,0.03683615819209041,46.421713498805964,45.97362098291178,47.5437830016933,51.71823289797835
45.81,45.88,43.0,44.25,752900,1999-11-23,46.509,51.089,58.648500000000006,-0.08875617792421753,46.60228466507462,45.98802421105206,47.65852665698249,51.91613909790983
43.88,49.75,43.75,48.56,414300,1999-11-24,46.384,51.138999999999996,58.7148,-0.00897959183673469,47.38637955343283,46.255412551213915,47.89359746091232,52.17600821987288
49.38,49.75,48.5,49.0,193700,1999-11-26,45.622,51.254,58.7761,-0.0062867572500507896,46.99517273791044,45.900860636016056,47.847638665113166,52.298584769699076
49.44,50.06,48.5,49.31,435200,1999-11-29,44.622,51.46020000000001,58.80629999999999,0.027291666666666714,46.32689698388059,45.42406996463391,47.76816546960372,52.410401202570235
49.25,49.63,47.25,48.0,490900,1999-11-30,43.690999999999995,51.5728,58.8257,0.032258064516129004,45.33252931184078,44.82623457457758,47.66183205371432,52.515499548420074
47.13,48.0,45.06,46.5,560200,1999-12-01,42.760000000000005,51.72,58.836999999999996,0.027624309392265234,44.44337241578771,44.337962970666446,47.638510126384276,52.66856732972245
46.13,46.13,44.13,45.25,373600,1999-12-02,42.06,51.9088,58.851400000000005,-0.0068042142230027025,43.757829887716944,44.00534188923051,47.717028066134915,52.87767130700118
45.97,48.38,45.0,45.56,528300,1999-12-03,41.440999999999995,52.205,58.858900000000006,0.025895068678225774,43.26043985028926,43.813856026035204,47.8871679327649,53.136236436052066
44.88,46.13,44.13,44.41,451400,1999-12-06,40.698,52.5638,58.8377,0.003615819209039417,42.493919800385676,43.54521849157908,48.047662272955584,53.39305801015552
44.44,45.13,42.63,44.25,318100,1999-12-07,39.982,52.95179999999999,58.935500000000005,0.029069767441860517,41.85522640051423,43.41217518259124,48.29853553315941,53.69756845117774
44.13,46.0,42.5,43.0,329700,1999-12-08,39.62,53.556799999999996,59.0505,0.05031753786028337,41.05696853401898,43.28327905683605,48.577744880273855,54.01782500884478
43.0,43.0,40.0,40.94,1008500,1999-12-09,39.864,54.23799999999999,59.193000000000005,0.04974358974358961,40.409291378691975,43.32686045019544,48.96241694098239,54.391310602364946
41.19,41.19,38.5,39.0,1109600,1999-12-10,40.408,54.9174,59.3199,-0.025000000000000022,40.23238850492264,43.69406975022551,49.51568707484324,54.84728723295359
38.63,41.25,38.5,40.0,1124200,1999-12-13,41.277,55.6524,59.561800000000005,0.033858878263117065,40.64318467323018,44.416234327183275,50.240906873108294,55.38448341034185
40.13,40.25,38.69,38.69,434700,1999-12-14,42.477,56.32,59.851800000000004,-0.020506329113924138,40.8575795643069,45.095654992903775,50.947176312633005,55.90599132255683
38.25,40.36,37.5,39.5,592900,1999-12-15,44.021,56.993,60.1362,0.01126472094214015,41.58010608574254,46.08114037642743,51.792498816952524,56.489584248745196
40.0,40.13,38.81,39.06,556100,1999-12-16,45.521,57.6218,60.391799999999996,0.024390243902439046,42.27347478099006,47.093623511262415,52.64025735605269,57.06550235887215
39.13,39.25,38.0,38.13,362300,1999-12-17,47.028000000000006,58.370599999999996,60.6212,0.023624161073825478,43.34463304132008,48.32956558991817,53.57682682888391,57.675858371037314
38.25,38.5,37.0,37.25,314000,1999-12-20,48.846000000000004,59.2074,60.8604,-0.08318976126015265,45.08284405509344,49.89872952682865,54.6421252308759,58.33842984124197
37.25,41.0,37.0,40.63,1263500,1999-12-21,50.496,60.0224,61.10980000000001,-0.10585387323943651,47.69379207345792,51.84468791557152,55.841582143350095,59.05329186975865
41.0,47.25,40.88,45.44,1094800,1999-12-22,51.79600000000001,60.8074,61.3479,-0.020267356619232513,50.04838943127723,53.57002451796714,56.890656773925954,59.67781023822505
46.88,49.25,46.25,46.38,945100,1999-12-23,52.946000000000005,61.5462,61.5748,-0.027469071084084584,51.58451924170297,54.82079752073132,57.68035724109326,60.16044787341912
48.0,48.63,45.88,47.69,501500,1999-12-27,54.871,62.1524,61.767300000000006,-0.08288461538461545,53.319358988937296,56.11938175468998,58.45969222323762,60.62758169963672
48.38,53.0,48.25,52.0,2063300,1999-12-28,57.520999999999994,62.6774,61.919200000000004,-0.03934971365231854,55.19581198524973,57.41620971694998,59.20242961794366,61.066143791149834
